Title,Price,Miles,Date Posted,Location,Link
2023 Ford Ranger XLT,"$33,000","34,500 mi.",3 days ago,(37 mi. from 63038),https://privateauto.com/listing/2023-ford-ranger-vwfzeurqofg?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings
2023 Ford Maverick Supercrew AWD Lariat,"$28,500","7,800 mi.",May 2nd,(255 mi. from 63038),https://privateauto.com/listing/2023-ford-maverick-vweeqoowhs0?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings
2023 Ford Maverick XLT,"$23,000","42,250 mi.",Today,(5 mi. from 63038),https://www.cars.com/vehicledetail/938f41a6-9e5b-4283-8999-f61d46b264ea/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
2022 Ford Explorer Limited,"$26,889","46,377 mi.",Today,(6 mi. from 63038),https://www.cars.com/vehicledetail/ead4f62c-f693-4636-8767-94fe4f024208/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
2021 Lexus NX NX 300 F SPORT,"$34,395","33,974 mi.",11 days ago,(216 mi. from 63038),/vehicle/carsoup/bf0dcfd597510449c2e699cf982f7424/JTJSARDZ6M2260588-65453
2021 Lexus ES ES 250,"$27,975","48,993 mi.",25 days ago,(203 mi. from 63038),/vehicle/carsoup/e7fc0297030cd753856995e5a65f49a2/58AC11D17MU001572-65452
2023 Toyota bZ4X Limited,"$33,590","4,743 mi.",Today,(274 mi. from 63038),https://www.carvana.com/vehicle/lt/3216731?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20240812_3088213&utm_vehicle_id=3216731
2018 Ford Escape SE,"$18,990","20,054 mi.",Today,(218 mi. from 63038),https://www.carvana.com/vehicle/lt/3137668?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20240812_2969290&utm_vehicle_id=3137668
2023 Ford Maverick Lariat   4 1/2 ft,"$37,990","2,048 mi.",Yesterday,(274 mi. from 63038),https://www.carvana.com/vehicle/lt/3215169?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20240812_3080020&utm_vehicle_id=3215169
2021 Ford F-150 XLT,"$38,750","37,600 mi.",3 days ago,(8 mi. from 63038),https://www.ebay.com/itm/256598063867?hash=item3bbe6fbafb%3Ag%3A67oAAOSwByFkmc5b&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049
2023 Toyota Corolla LE,"$22,998","34,139 mi.",Yesterday,(22 mi. from 63038),//www.autotempest.com/details/abt-467806441
